S. No.,Topic,Question,Option A,Option B,Option C,Option D,Correct Option
34,Leave Encashment,"Under AS 15 (Revised), short-term accumulating compensated absences are measured at:",Present value of future benefits,Undiscounted expected additional payments,Fair value using an option pricing model,Intrinsic value at year-end,B
35,Leave Encashment,An example of a “vesting” leave benefit is:,Casual leave that lapses at year end,Sick leave that cannot be encashed,Leave that can be encashed on resignation,Unpaid study leave,C
36,Leave Encashment,"If leave encashment is available only on retirement and not on resignation, it is generally treated as:",Short-term benefit,Post-employment or other long-term benefit depending on terms,Share-based payment,Termination benefit only,B
37,Leave Encashment,"In actuarial valuation of long-term leave encashment, which of the following assumptions is usually NOT required?",Salary escalation,Discount rate,Expected equity return,Withdrawal/attrition rates,C
38,Leave Encashment,"A company offers 30 days of earned leave per year, unused leave accumulates without limit and is encashable at exit. This benefit is best classified as:",Post-employment defined contribution plan,Post-employment defined benefit plan,Other long-term employee benefit,Short-term employee benefit only,C
39,Leave Encashment,"Under AS 15 / Ind AS 19, actuarial gains and losses for other long-term employee benefits like long-term leave are:",Recognised immediately in profit and loss,Deferred and amortised over remaining service,Recognised in OCI,Never recognised,A
40,Leave Encashment,Which is TRUE regarding tax treatment of leave encashment on retirement for non-government employees (subject to tax law)?,Always fully tax-free,Always fully taxable,Subject to specified monetary limits and conditions,Tax-free only if paid after age 60,C
41,Leave Encashment,"In a valuation of long-term leave, the probability that an employee will have sufficient accumulated leave balance at exit is usually handled by:",A separate “leave balance” model or implicit assumption in benefit incidence factors,Changing the mortality table,Ignoring leave carried forward,Using zero withdrawal rate,A
42,Leave Encashment,"For short-term non-accumulating sick leave (which lapses if unused), an expense is recognised:",When leave is granted at start of the year,Only when leave is actually taken,Only on retirement,Not at all,B
43,Leave Encashment,A key difference between leave encashment and gratuity from valuation perspective is that leave encashment:,Is always fully funded,Can be both short-term and long-term depending on terms,Is always post-employment,Has no actuarial assumptions,B
44,Leave Encashment,"If a company changes its leave policy to allow encashment on resignation where previously encashment was only on retirement, this change is typically:",A change in actuarial assumption,A plan amendment leading to past service cost,An actuarial gain,A settlement,B
45,PF & Pension (India),"Under the Employees’ Provident Fund (EPF) in India, the employer contribution is typically treated for accounting purposes as:",Short-term employee benefit,Defined contribution post-employment benefit,Defined benefit post-employment benefit,Other long-term employee benefit,B
46,PF & Pension (India),A traditional exempted provident fund managed by a company trust with guaranteed interest may be classified under AS 15 / Ind AS 19 as:,Defined contribution plan,Defined benefit plan,Short-term employee benefit,Termination benefit,B
47,PF & Pension (India),Which of the following is TRUE about defined contribution plans?,Employer’s obligation is limited to fixed contributions,Employer must guarantee a minimum return,Actuarial valuation is always required,Benefit formula is based on years of service and final salary,A
48,PF & Pension (India),"In a defined benefit pension scheme, actuarial risk and investment risk are borne primarily by:",Employees,Employer,Government,Auditors,B
49,PF & Pension (India),The Employees’ Pension Scheme (EPS) associated with EPF is conceptually a:,Defined contribution plan,Defined benefit plan,Short-term employee benefit plan,Share-based payment plan,B
50,PF & Pension (India),"For a pure defined contribution plan, expense recognised in the P&L in a period is generally:",Actuarial present value of benefits accrued,Amount of contributions due for that period,Benefit payments made during the period only,Nil,B
51,PF & Pension (India),"Under AS 15, an enterprise’s obligation in a defined contribution plan ends when:",Employee retires,Contributions are paid as per the plan terms,Fund value equals liability,Actuarial report is signed,B
52,PF & Pension (India),"For a funded defined benefit pension scheme, plan assets are:",Always equal to the defined benefit obligation,"Assets held in a separate entity, available only to pay plan benefits",Employer’s general investments,Always government bonds,B
53,PF & Pension (India),"In a final salary defined benefit pension, the most appropriate actuarial method under AS 15 / Ind AS 19 is generally:",Accumulated benefit method,Projected Unit Credit method,Entry age normal method using contributions,No method is prescribed,B
54,PF & Pension (India),A multi-employer pension plan where individual employer share of obligations cannot be reliably identified is often accounted as:,Defined benefit plan,Defined contribution plan,Short-term benefit plan,Termination benefit plan,B
55,PF & Pension (India),Which is TRUE regarding state plans like statutory social security plans under AS 15?,They are always defined benefit plans,They are usually treated as defined contribution from employer perspective,They are never in scope of AS 15,They must be actuarially valued by each employer,B
56,PF & Pension (India),"In a superannuation scheme where benefit is fixed at 50% of final salary after 30 years’ service, this is best described as:",Defined contribution plan,Defined benefit plan,Short-term benefit,Share-based payment,B
57,PF & Pension (India),"For Indian exempt PF trusts, actuarial valuation sometimes focuses on:",Equity market volatility only,Interest rate guarantee vs fund returns,Mortality improvements only,Salary escalation only,B
58,PF & Pension (India),A hybrid plan with a guaranteed minimum return and upside linked to investment performance is usually treated as:,Pure defined contribution,Pure defined benefit or defined benefit with embedded option,Termination benefit,Short-term benefit,B
59,PF & Pension (India),Employer contributions to National Pension System (NPS) for employees are typically accounted as:,Defined contribution post-employment benefits,Defined benefit post-employment benefits,Termination benefits,Short-term employee benefits only,A
60,PF & Pension (India),"In a defined benefit pension, “service cost” generally excludes which of the following?",Current service cost,Past service cost,Interest cost,Return on plan assets,D
61,PF & Pension (India),An unfunded pension promise recorded only by book entry leads to:,No accounting requirement,Recognition of a defined benefit obligation with no plan assets,Recognition of a defined contribution plan,Recognition only at payment,B
62,PF & Pension (India),Which of the following is a typical actuarial assumption specific to pension plans but not usually required for gratuity in India?,Retirement age,Pension increase (indexation) post-retirement,Salary increase,Withdrawal rate,B
63,PF & Pension (India),"For a defined benefit pension scheme closed to new entrants, one common trend over time is:",DBO decreases automatically,Average age of members increases and liabilities may become more sensitive to discount rate,Service cost always increases,No change in risk profile,B
64,PF & Pension (India),"In Indian practice, actuarial valuation of pension benefits for accounting is usually required:",Only if scheme is funded,For both funded and unfunded defined benefit pension promises,Only for new schemes,Only once at inception,B
65,PRMBs & Other Post-retirement Benefits,Post-retirement medical benefits (PRMBs) offered to retired employees are usually classified as:,Short-term benefits,Post-employment defined benefit obligations,Defined contribution plans,Termination benefits only,B
66,PRMBs & Other Post-retirement Benefits,Which of the following is a key additional actuarial assumption required for PRMB valuation compared to gratuity?,Mortality,Withdrawal rates,Healthcare cost trend rate,Discount rate,C
67,PRMBs & Other Post-retirement Benefits,"In PRMBs, the risk that healthcare costs increase faster than expected is called:",Interest rate risk,Longevity risk,Salary risk,Healthcare cost trend risk,D
68,PRMBs & Other Post-retirement Benefits,Post-retirement life insurance benefits with defined coverage amount are usually treated as:,Defined contribution plans,Defined benefit post-employment plans,Short-term benefits,Share-based payments,B
69,PRMBs & Other Post-retirement Benefits,"Under AS 15 / Ind AS 19, actuarial gains and losses for PRMBs are:",Recognised immediately in profit and loss (AS 15) or in OCI (Ind AS 19),Never recognised,Deferred indefinitely,Recognised only on settlement,A
70,PRMBs & Other Post-retirement Benefits,Which of the following best describes “other post-employment benefits” under AS 15 / Ind AS 19?,Only gratuity and pension,"All long-term benefits paid after employment, excluding share-based payments",Only medical benefits,Only insurance benefits,B
71,PRMBs & Other Post-retirement Benefits,"For PRMBs, a common design feature that significantly increases liability is:",Very high retirement age,No dependants covered,Low co-payments and lifetime coverage,Short vesting period,C
72,PRMBs & Other Post-retirement Benefits,Which is TRUE about discount rate used for PRMB valuation under Ind AS 19?,Based on expected return on plan assets,Based on government bond yields of appropriate term,Based on bank deposit rate,Chosen arbitrarily by management,B
73,PRMBs & Other Post-retirement Benefits,PRMBs are particularly sensitive to which combination of assumptions?,Withdrawal rates and equity returns,Salary growth and inflation,Healthcare cost inflation and discount rate,Mortality improvements only,C
74,PRMBs & Other Post-retirement Benefits,A plan change that introduces a new PRMB for all past service is usually recognised as:,A curtailment,Past service cost,Interest cost,Actuarial loss,B
75,Long Service Awards,"Long service awards payable after, say, 20 years of service are generally classified as:",Short-term employee benefits,Post-employment benefits,Other long-term employee benefits,Termination benefits,C
76,Long Service Awards,Which of the following is TRUE for “other long-term employee benefits” such as long service awards under AS 15?,Actuarial gains and losses are recognised immediately in profit and loss,Actuarial gains and losses are deferred to OCI,No actuarial valuation is allowed,They are treated as short-term if paid after one year,A
77,Long Service Awards,"If a long service award vests only after 10 years of service, expense recognition under AS 15 / Ind AS 19:",Starts only after vesting,Is spread over the vesting period based on service,Occurs only when benefit is paid,Is not required,B
78,Long Service Awards,"A cash bonus paid after completion of 15 years of service, not linked to retirement, is best classified as:",Termination benefit,Other long-term employee benefit,Short-term benefit,Share-based payment,B
79,Long Service Awards,"In a long service award valuation, which assumption is typically most important?",Equity dividend yield,Salary escalation and withdrawal rates,Healthcare cost trend,Corporate tax rate,B
80,Long Service Awards,"Under Ind AS 19, long service awards fall under which measurement category?",Defined contribution plan,Defined benefit plan – other long-term employee benefits,Share-based payment,Short-term employee benefits,B
81,Long Service Awards,"For a non-salary-linked fixed rupee long service award, the main drivers of liability are:",Discount rate and service probabilities,Salary escalation only,Equity returns,Inflation only,A
82,Long Service Awards,A change in policy that reduces the benefit for future service only is generally treated as:,Past service cost (negative),Actuarial gain,Settlement,Termination benefit,A
83,Long Service Awards,Which of the following is a difference between other long-term employee benefits and post-employment benefits under Ind AS 19?,Recognition principles differ but disclosure requirements are identical,Measurement principles differ but recognition is identical,Actuarial gains and losses are recognised differently,No difference at all,C
84,Long Service Awards,"If a company has both a long service award and gratuity, how are they generally valued?",Using the same assumptions without any distinction,"Separately, but possibly with consistent demographic assumptions where appropriate",Only the larger plan is valued,By taking average of both benefits,B
85,AS 15 (Revised),"Under AS 15, a defined benefit obligation must be measured using which actuarial method?",Attained age method,Projected Unit Credit Method,Entry Age Normal Method,Aggregate Cost Method,B
86,AS 15 (Revised),Which of the following best describes a “defined benefit plan” under AS 15?,Employer's obligation limited to contributions,Benefit depends on future variables like salary and service,A plan where benefits depend on investment performance only,Benefit payable immediately after service,B
87,AS 15 (Revised),AS 15 requires discount rates to be determined by reference to:,Corporate bond yields,Government bond yields,Fixed deposit rates,Mutual fund returns,B
88,AS 15 (Revised),"Under AS 15, actuarial gains and losses for defined benefit plans are:",Recognised immediately in P&L,Recognised in OCI,Deferred over average remaining service,Not recognised,A
89,AS 15 (Revised),Which of the following is included in “service cost” under AS 15?,Current service cost only,Current service cost + interest cost,Current service cost + past service cost,Current service cost + past service cost + settlement gains/losses,C
90,AS 15 (Revised),Which of the following is TRUE about interest cost under AS 15?,It is calculated as discount rate × opening obligation,It is always zero for unfunded plans,It must equal expected return on assets,It is optional,A
91,AS 15 (Revised),Plan assets under AS 15 include:,Employer fixed deposits,Assets in an approved gratuity fund,Paid leave balances,Corporate investments,B
92,AS 15 (Revised),"Under AS 15, past service cost arising from a new plan is:",Recognised immediately,Recognised over remaining vesting period,Recognised only on retirement,Never recognised,B
93,AS 15 (Revised),The term “settlement” under AS 15 refers to:,Early termination of employee,A transaction eliminating employer’s obligation,Any plan amendment,Employee withdrawal,B
94,AS 15 (Revised),Which of the following is NOT a component of defined benefit cost under AS 15?,Current service cost,Interest cost,Expected return on plan assets,Dividend income on company equity,D
95,AS 15 (Revised),"Under AS 15, actuarial valuation of defined benefit plans must be performed:",Every 3 years,At least annually,Only when requested by auditor,Only on funding,B
96,AS 15 (Revised),Reimbursement rights under AS 15 relate to:,Insurance policies qualified to pay benefits,Employee contribution refunds,PF employer match,Share-based settlement,A
97,AS 15 (Revised),A plan amendment that reduces benefits for future service results in:,Past service cost,Curtailment,Actuarial loss,Negative past service cost,D
98,AS 15 (Revised),Which of the following determines the split between current and non-current portion of liability?,Term of government bonds,Expected benefit payments in next 12 months,Salary escalation rate,Company cashflow forecast,B
99,AS 15 (Revised),"If a defined benefit plan is overfunded, AS 15 requires recognition of asset limited to:",Full surplus,Lower of surplus or available economic benefits,Zero,Only 50% of surplus,B
100,AS 15 (Revised),Which employee benefits are NOT covered under AS 15?,Share-based payments,Gratuity,PF,Long service awards,A
101,AS 15 (Revised),An enterprise’s obligation in defined contribution plans under AS 15 ends when:,Employee retires,Contributions are paid,Fund value exceeds contributions,Auditor signs report,B
102,AS 15 (Revised),"Under AS 15, actuarial gains or losses arise due to:",Change in HR policy,Difference between actual and assumed experience,Interest rate arbitrage,Investment losses outside plan,B
103,AS 15 (Revised),A valuation discount rate must reflect:,Risk-free return + liquidity premium,Government bond yields of matching term,Company expected return,Weighted average cost of capital,B
104,AS 15 (Revised),Which of the following is NOT an actuarial assumption for defined benefit plan under AS 15?,Mortality,Withdrawal,Equity market volatility,Salary escalation,C
105,Ind AS 19,"Under Ind AS 19, remeasurement of defined benefit plans is recognised in:",Profit & Loss,Other Comprehensive Income (OCI),Retained earnings,Notes only,B
106,Ind AS 19,Ind AS 19 differs from AS 15 primarily because it:,Prohibits actuarial valuations,Routes remeasurements to OCI,Removes discount rate requirement,Requires no disclosure,B
107,Ind AS 19,Service cost under Ind AS 19 includes:,Current service cost only,Current + past service cost + curtailments,Only past service cost,Discount rate changes,B
108,Ind AS 19,Which of these costs remain in P&L under Ind AS 19?,Interest cost and service cost,Remeasurements,Actuarial gains only,None,A
109,Ind AS 19,"Under Ind AS 19, interest cost is computed using:",Discount rate × opening DBO,Expected return on assets,Investment yield,Risk-free rate minus inflation,A
110,Ind AS 19,Remeasurements include:,Actuarial gains/losses + return on plan assets excluding interest,Service cost,Past service cost,Settlement gain only,A
111,Ind AS 19,Discount rate under Ind AS 19 uses:,Corporate bond yields,Government bond yields,Bank rate,HR policy recommendations,B
112,Ind AS 19,Which of the following remains a requirement under Ind AS 19?,Disclosure of sensitivity analysis,Segregation of assets into equity and bonds,Expected return on plan assets,Deferred recognition of actuarial loss,A
113,Ind AS 19,"Under Ind AS 19, expected return on plan assets:",Is recognised in P&L,Is not separately recognised; included via discount rate,Is part of OCI,Is added to service cost,B
114,Ind AS 19,A plan amendment increasing benefits for past service gives rise to:,Past service cost,Negative remeasurement,Interest cost,Settlement,A
115,Ind AS 19,Which assumption significantly influences defined benefit medical plans under Ind AS 19?,Healthcare cost trend rate,Bonus payout rate,Equity indexation,PF interest rate,A
116,Ind AS 19,"If retirement age assumption increases, DBO generally:",Decreases,Increases,Remains same,Becomes negative,A
117,Ind AS 19,"Under Ind AS 19, recognition of negative past service cost is:",Immediate,Deferred,Prohibited,Recognised in OCI,A
118,Ind AS 19,Which of the following is mandatory under Ind AS 19 disclosures?,Weighted average duration of obligation,Historical return table,Trust deed,Tax reconciliations,A
119,Ind AS 19,Ind AS 19 classification requires employee benefits expected to be settled within 12 months to be:,Short-term benefits,Defined contribution,Termination benefit,Deferred expenses,A
120,IAS 19,IAS 19 discount rate requirement uses market yields on:,High-quality corporate bonds,Government bonds always,Sovereign wealth funds,Company bond yields,A
121,IAS 19,IAS 19 requires remeasurement of defined benefit plans to be recognised in:,Profit & Loss,OCI,Retained earnings,Deferred asset,B
122,IAS 19,Which of the following is NOT permitted under IAS 19?,Smoothing of actuarial gains/losses,Discounting obligations,Using mortality tables,Recognising service cost,A
123,IAS 19,IAS 19 service cost includes:,Current service cost only,Current + past service + settlement effects,Interest cost,Return on assets,B
124,IAS 19,IAS 19 disclosures require segregating:,Plan assets by risk class,Mortality table code only,Tax expense,Employee count by grade,A
125,IAS 19,IAS 19 uses which rate to determine interest on obligation and asset?,Expected return on asset,Discount rate,Investment yield,Risk-free rate,B
126,IAS 19,In multi-employer plans where employer’s share cannot be identified:,Account as DC plan,Account as DB plan,No disclosure needed,Recognise full group obligation,A
127,IAS 19,Which change results in a “plan amendment” under IAS 19?,Change in membership,Change in benefit formula,Change in discount rate,Salary fluctuations,B
128,IAS 19,“Settlement” under IAS 19 means:,Employee termination,Transaction eliminating obligation,Change in actuarial assumption,Benefit enhancement,B
129,IAS 19,The asset ceiling under IAS 19 refers to:,Only trust fund limit,Maximum surplus recoverable via refunds/reductions,Limit on investment in equity,Limit on contribution tax deduction,B
130,US GAAP (ASC 715),"Under US GAAP ASC 715, actuarial gains and losses are recognised:",Immediately in P&L,Initially in OCI and amortised through P&L,Never recognised,Directly in retained earnings,B
131,US GAAP (ASC 715),The “corridor approach” applies to:,Immediate recognition of gains,Deferred recognition of actuarial gains/losses,Salary escalation tracking,Discount rate setting,B
132,US GAAP (ASC 715),Which of the following is TRUE under ASC 715?,Expected return on assets used in P&L,No expected return recognised,Plan assets not recognised,Discount rate equals investment return,A
133,US GAAP (ASC 715),ASC 715 requires discount rate based on:,Government bonds only,High-quality corporate bonds,Expected fund return,Repo rate,B
134,US GAAP (ASC 715),"Under ASC 715, prior service cost is:",Recognised immediately,Recognised in OCI and amortised,Not recognised,Recognised only on payment,B
135,US GAAP (ASC 715),Which benefit cost component under ASC 715 flows through net income?,Service cost only,Service + interest + expected return ± amortisations,Only settlement gains,Only curtailment losses,B
136,US GAAP (ASC 715),Plan assets are measured at:,Historical cost,Fair value,Book value,Discounted value,B
137,US GAAP (ASC 715),The “minimum liability adjustment” concept was replaced by:,Net periodic benefit cost,Recognition of funded status on balance sheet,OCI smoothing,Mortality update,B
138,US GAAP (ASC 715),ASC 715 presentation requires funded status as:,Off-balance-sheet item,Net liability/asset on balance sheet,Footnote only,Not required,B
139,US GAAP (ASC 715),Expected return on plan assets under ASC 715:,Reduces net periodic cost,Increases service cost,Affects OCI only,Not used,A
140,ESOPs / Ind AS 102 / GN30,ESOPs are accounted under which standard in India?,AS 15,Ind AS 102,IAS 19,IFRS 4,B
141,ESOPs / Ind AS 102 / GN30,Fair value of ESOPs is generally measured on:,Grant date,Vesting date,Exercise date,Payment date,A
142,ESOPs / Ind AS 102 / GN30,Which model is commonly used for fair valuation of plain-vanilla ESOPs?,Discounted cash flow,Black-Scholes model,Projected unit credit method,Intrinsic value method,B
143,ESOPs / Ind AS 102 / GN30,Market-linked performance conditions require valuation using:,Black-Scholes only,Binomial or Monte Carlo models,Salary progression,Risk-free return only,B
144,ESOPs / Ind AS 102 / GN30,"Under Ind AS 102, fair value of equity-settled options after grant date is:",Re-measured each year,Never re-measured,Re-measured only on exercise,Re-measured for market conditions only,B
145,ESOPs / Ind AS 102 / GN30,Intrinsic value method is permitted only when:,Fair value is negative,Company chooses voluntarily,Relevant guidance note allows it for unlisted companies,Employees request it,C
146,ESOPs / Ind AS 102 / GN30,Vesting expense under ESOPs is recognised:,Over vesting period,On exercise date,On grant date,On listing date,A
147,ESOPs / Ind AS 102 / GN30,Expected volatility used in ESOP valuation should generally be based on:,Peer listed companies if unlisted,Risk-free rate,Equity premium,Corporate bond rates,A
148,ESOPs / Ind AS 102 / GN30,"If employees resign before vesting, unvested ESOP expense is:",Reversed,Not reversed,Deferred,Converted into cash,A
149,ESOPs / Ind AS 102 / GN30,Cash-settled SARs are measured at:,Intrinsic value only,Fair value re-measured each reporting date,Grant date fair value,Zero until exercise,B
150,ESOPs / Ind AS 102 / GN30,Dividend yield assumption affects fair value by:,Increasing fair value,Decreasing fair value for call options,Having no effect,Increasing intrinsic value only,B
151,ESOPs / Ind AS 102 / GN30,"Under GN30, actuaries must:",Validate share price movement,Apply appropriate valuation model and assumptions,Ignore past exercise data,Use fixed parameters,B
152,ESOPs / Ind AS 102 / GN30,Performance-based vesting (non-market) affects:,Fair value only,"Vesting expense, not fair value",Share price,Discount rate,B
153,ESOPs / Ind AS 102 / GN30,Modification increasing option value requires:,No change in accounting,Recognition of incremental fair value,Reversal of expense,Treating as new grant only,B
154,ESOPs / Ind AS 102 / GN30,Employee exercise behaviour primarily affects which assumption?,Dividend yield,Expected life,Volatility,Risk-free rate,B
155,Termination Benefits,Termination benefits become payable when:,Employee resigns voluntarily,Company decides to terminate before normal retirement,Employee takes leave,Share price changes,B
156,Termination Benefits,"Under AS 15, termination benefits are recognised when:",Plan is announced and cannot realistically be withdrawn,Employee leaves,Payment is made,Auditor requests,A
157,Termination Benefits,VRS benefits are generally classified as:,Post-employment benefits,Termination benefits,Other long-term benefits,Short-term benefits,B
158,Termination Benefits,Ind AS 19 requires termination benefits settled after 12 months to be:,Undiscounted,Discounted,Ignored,Recognised in OCI,B
159,Termination Benefits,A one-time cash payment on restructuring leading to redundancy is:,Defined benefit,Termination benefit,Short-term benefit,Share-based benefit,B
160,Incentive Schemes,STI (Short-Term Incentives) payable within 12 months are classified as:,Short-term employee benefits,Other long-term benefits,Defined benefit plans,Termination benefits,A
161,Incentive Schemes,LTI (cash-based long-term incentives) linked to 3–5 year performance are generally:,Short-term benefits,Other long-term employee benefits,Defined contribution plans,Termination benefits,B
162,Incentive Schemes,A performance bonus based purely on current year profits is recognised when:,Management declares intention,Obligation arises from past service and reliable estimate exists,Payment is made,Auditors approve,B
163,Incentive Schemes,"Under AS 15, profit-sharing plans create obligations when:",Employer has realistic alternative to avoid payment,Employer has no realistic alternative to avoid payment,Auditor requires it,Tax deduction available,B
164,Incentive Schemes,A long-term incentive with share settlement falls under:,AS 15,Ind AS 102,Ind AS 19,IFRS 17,B
165,Actuarial Assumptions & APS 27,Discount rate under APS 27 for Indian valuations is based on:,Government security yields,Equity returns,Company borrowing rate,Repo rate,A
166,Actuarial Assumptions & APS 27,Salary escalation assumption must consider which factors?,"Inflation, career progression, company policy",Only inflation,Only GDP growth,Bonus cycle,A
167,Actuarial Assumptions & APS 27,Withdrawal assumptions should be set based on:,Auditor preference,Industry experience and company history,Tax limits,HR head approval only,B
168,Actuarial Assumptions & APS 27,Mortality assumptions for Indian DB plans often use:,LIC mortality tables,WHO tables,IFRS mortality table,Self-developed tables always,A
169,Actuarial Assumptions & APS 27,Which is TRUE about assumption setting under APS 27?,Assumptions must be mutually consistent,Assumptions may contradict each other,No disclosure needed,Auditors decide them,A
170,Actuarial Assumptions & APS 27,Sensitivity analysis must include at minimum:,"Discount rate, salary escalation, withdrawals",Share price,Equity risk premium,Industry inflation only,A
